Identifier,StructureData,Polymer EntityData,
Entity ID,PDB ID,Entity ID,
"3ZOJ_1","3ZOJ","1"
"3ZR8_1","3ZR8","1"
"4AF8_1","4AF8","1"
"4AK8_1","4AK8","1"
"4EIV_1","4EIV","1"
"4G9S_1","4G9S","1"
"4GBU_1","4GBU","1"
"4GOF_1","4GOF","1"
"4GZC_1","4GZC","1"
"4H7W_1","4H7W","1"
"4IO2_1","4IO2","1"
"4J3V_1","4J3V","1"
"4J5R_1","4J5R","1"
"4JK8_1","4JK8","1"
"4LDV_1","4LDV","1"
"4MAI_1","4MAI","1"
"4N9S_1","4N9S","1"
"4O0C_1","4O0C","1"
"4OEL_1","4OEL","1"
"4OEL_2","4OEL","2"
"4PVK_1","4PVK","1"
"4RP3_1","4RP3","1"
"4S28_1","4S28","1"
"4W8H_1","4W8H","1"
"4YWB_1","4YWB","1"
"4ZH5_1","4ZH5","1"
"5AE0_1","5AE0","1"
"5C33_1","5C33","1"
"5C6S_1","5C6S","1"
"5DFS_1","5DFS","1"
"5DKX_1","5DKX","1"
"5EKW_1","5EKW","1"
"5FAF_1","5FAF","1"
"5HDK_1","5HDK","1"
"5HGJ_1","5HGJ","1"
"5IG6_1","5IG6","1"
"5J1S_1","5J1S","1"
"5J1S_2","5J1S","2"
"5K4B_1","5K4B","1"
"5L0R_2","5L0R","2"
"5L0S_2","5L0S","2"
"5L0T_1","5L0T","1"
"5L74_1","5L74","1"
"5LBD_1","5LBD","1"
"5LTR_1","5LTR","1"
"5LVO_1","5LVO","1"
"5M4V_1","5M4V","1"
"5M5Z_1","5M5Z","1"
"5MBZ_1","5MBZ","1"
"5MDU_1","5MDU","1"
"5MFA_1","5MFA","1"
"5MH2_1","5MH2","1"
"5MLR_1","5MLR","1"
"5MYC_2","5MYC","2"
"5NU2_1","5NU2","1"
"5O0U_1","5O0U","1"
"5O6N_1","5O6N","1"
"5OHQ_1","5OHQ","1"
"5OTN_1","5OTN","1"
"5OUO_1","5OUO","1"
"5QHT_1","5QHT","1"
"5QK0_1","5QK0","1"
"5R7X_1","5R7X","1"
"5T5L_1","5T5L","1"
"5U3A_1","5U3A","1"
"5U81_1","5U81","1"
"5WAA_1","5WAA","1"
"5WL1_1","5WL1","1"
"5XCT_1","5XCT","1"
"5ZUN_1","5ZUN","1"
"6B6U_1","6B6U","1"
"6DN7_1","6DN7","1"
"6ELV_1","6ELV","1"
"6FVI_1","6FVI","1"
"6G28_1","6G28","1"
"6G6K_1","6G6K","1"
"6G6K_2","6G6K","2"
"6G8Y_1","6G8Y","1"
"6GM5_1","6GM5","1"
